id,name,type_1,type_2,img_url,hp,attack,defense,speed
1,bulbasaur,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,45,49,49,45
2,ivysaur,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,60,62,63,60
3,venusaur,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,80,82,83,80
4,charmander,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,39,52,43,65
5,charmeleon,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,58,64,58,80
6,charizard,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,78,84,78,100
7,squirtle,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,44,48,65,43
8,wartortle,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,59,63,80,58
9,blastoise,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,79,83,100,78
10,caterpie,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,45,30,35,45
11,metapod,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,50,20,55,30
12,butterfree,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,60,45,50,70
13,weedle,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,40,35,30,50
14,kakuna,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,45,25,50,35
15,beedrill,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,65,90,40,75
16,pidgey,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,40,45,40,56
17,pidgeotto,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,63,60,55,71
18,pidgeot,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,83,80,75,101
19,rattata,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,30,56,35,72
